siteID,sitename,lon,lat,datasetid,handle,topdepth,botdepth,bestacc,acc.shape.old,hiatus,acc.mean.mod,acc.shape.mod,bestthick,mem.mean,mem.strength,description,AgeModel_completeness
203,Anderson Pond,-85.50132,36.03015,203,ANDERSON,152,690,50,0.9,0,3.02,0.53,20,0.5,2,NA,part
203,Anderson Pond,-85.50132,36.03015,15088,ANDERS07,118,668,20,0.9,0,3.02,0.53,5,0.5,2,NA,part
296,Boone Lake,-119.433333,55.575,302,BOONE,85,534,50,0.9,0,3.02,0.53,15,0.5,2,"Glacial montane lake. Physiography: glaciated mountain foothills. Surrounding vegetation: Picea mariana; Betula glandulosa, Salix.",part
311,Buckbean Fen,-110.260556,44.298611,318,BUCKBEAN,505,958,10,0.9,0,3.02,0.53,20,0.5,2,Fen 5 m above Yellowstone Lake. Physiography: within former Yellowstone Lake shorelines. Surrounding vegetation: Pinus contorta forest.,part
324,Camel Lake,-85.016667,30.266667,331,CAMEL,474,630,100,0.9,0,3.02,0.53,20,0.5,2,"Sinkhole lake. Physiography: level, Gulf Coastal Plain. Surrounding vegetation: Pinus palustris/Quercus laevis forest.",part
332,Lac Caribou,-64.94,48.197778,339,CARIB,140,315,10,0.9,0,3.02,0.53,15,0.5,2,Floating bog mat over kettle lake. Physiography: fluvio-lacustrine outwash plain. Surrounding vegetation: Betulo luteae - Abietetum.,part
336,Carp Lake,-120.880556,45.918056,343,CARPLAKE,108,320,50,0.9,0,3.02,0.53,20,0.5,2,"Volcanic explosion crater. Physiography: hilly, local relief 100 m. Surrounding vegetation: open ponderosa pine forest.",part
349,Chalco Lake,-99,19.5,357,CHALCOLA,368,812,20,0.9,0,3.02,0.53,20,0.5,2,"Playa, marsh, shallow lake. Physiography: basin surrounded by stratovolcanoes. Surrounding vegetation: cultives.",part
364,Chatsworth Bog,-88.324435,40.675865,375,CHTSWRTH,120,1140,20,0.9,0,3.02,0.53,20,0.5,2,Marl fen in outwash channel. Physiography: level ground moraine. Surrounding vegetation: corn and soybean fields.,part
459,Wentworth Lake,-124.530695,48.00985,19997,WENT,100,510,20,0.9,0,3.02,0.53,20,0.5,2,Open water lake,part
480,Clear Pond,-78.95336,33.798895,492,CLEARPND,524,902,50,0.9,0,3.02,0.53,20,0.5,2,"Small sinkhole on relict barrier. Physiography: relict barrier island formation. Surrounding vegetation: long-leaf pine, turkey oak.",part
484,Coghill Lake,-66.766667,53.9,496,COGHILL,700,779,50,0.9,0,3.02,0.53,5,0.5,2,"Fluvial origin, moderate relief. Physiography: Caniapiscau granitic massif. Surrounding vegetation: lichen woodland.",part
485,Colo Marsh,-93.27,42.02,497,COLOMSH,100,303,50,0.9,0,3.02,0.53,15,0.5,2,Physiography: Bemis Moraine.,part
494,Copley Lake,-107.0825,38.872222,506,COPLEY,68,216,100,0.9,0,3.02,0.53,20,0.5,2,Montane glacial lake (water 1 m deep). Physiography: flat knoll on mountain slope. Surrounding vegetation: Picea engelmannii - Abies lasiocarpa.,part
498,Tourbière de Lanoraie COTEAU JAUNE,-73.341944,45.960833,510,COTJ,100,280,10,0.9,0,3.02,0.53,20,0.5,2,"Ombrotrophic bog, ericaceous. Physiography: dissected deltaic plain. Surrounding vegetation: Tilio - Aceretum sacchari.",part
500,Cottonwood Lake,-99.90806,44.835435,513,COTTONWD,576,968,20,0.9,0,3.02,0.53,20,0.5,2,"Lake in preglacial stream valley. Physiography: Missouri Coteau, gently rolling. Surrounding vegetation: wheatgrass prairie, small-grain fields.",part
506,Crates Lake,-81.266667,49.183333,519,CRATES,280,510,5,0.9,0,3.02,0.53,20,0.5,2,NA,part
525,Cupola Pond,-91.1,36.8,539,CUPOLA,135,1155,50,0.9,0,3.02,0.53,20,0.5,2,Small sinkhole pond almost completely occupied by Nyssa aquatica. Upland vegetation: oak-hickory forest. Water is darkly stained with tannins.,part
534,Davis Lake,-122.25,46.591667,550,DAVIS,360,700,10,0.9,0,3.02,0.53,20,0.5,2,Lake. Physiography: Puget Sound lowland. Surrounding vegetation: Psuedotsuga with Tsuga and Thuja.,part
562,Tom Swamp,-72.2125,42.516667,3790,TOMSWAMP,220,940,50,0.9,0,3.02,0.53,20,0.5,2,Larix-Picea mariana-Sphagnum bog.. Physiography: rolling topog.- valley between ridges. Surrounding vegetation: oak with mixed hardwd/hemlock/white pine.,part
753,Duck Pond,-70.0005,41.9327,772,DUCKPOND,255,393,50,0.9,0,3.02,0.53,20,0.5,2,NA,part
759,Eaglenest Lake,-112.1,57.766667,778,EAGLENES,270,650,50,0.9,0,3.02,0.53,20,0.5,2,"Large, flat-bottomed lake. Physiography: Birch Mountain Upland - rolling moraine. Surrounding vegetation: Picea mariana.",part
835,"Georgian Bay, Lake Huron (1)",-80.86,44.74,862,GB68-17,70,650,50,0.9,0,3.02,0.53,15,0.5,2,NA,part
836,"Georgian Bay, Lake Huron (2)",-81.32,45.17,863,GB71-104,120,1340,50,0.9,0,3.02,0.53,20,0.5,2,NA,part
937,Gold Lake Bog,-122.041667,43.65,966,GOLDLKBG,150,480,5,0.9,0,3.02,0.53,20,0.5,2,Sphagnum bog with trees and shrubs. Physiography: Cascade Range. Surrounding vegetation: Pseudotsuga/Tsuga mertensiana/Pinus.,part
972,Hanging Lake,-138.383333,68.383333,1003,HANGING,16,264,100,0.9,0,3.02,0.53,20,0.5,2,Small lake in broad basin. Physiography: undulating tundra surface. Surrounding vegetation: tussock tundra/wet sedge/heath/fellfield.,part
1125,Jackson Pond,-85.72462,37.43255,15081,JACKSN07,180,455.5,100,0.9,0,3.02,0.53,15,0.5,2,"Pond is a circular, shallow sinkhole (3.5 ha) in a karst up-land of gentle relief. Hillcrests are 10-15 m above the surface of the basin. Most of the surrounding area is in cropland or pasture, with scattered woodlots of Quercus and Carya spp. Fagus grandifolia, Fraxinus americana, Acer saccharum, and other mesic species occur in valley bottoms. The basin itself at the time of coring was vegetated by emergent Nuphar, graminoids (Cyperaceae and Poaceae), and scattered individuals of C. occidentalis and A. saccharum.",part
1220,Jewell Site,-93.7,42.26,1255,JEWELL,186,847,5,0.9,0,3.02,0.53,15,0.5,2,"Drained lake. Physiography: Altamont Moraine, rolling. Surrounding vegetation: agricultural.",part
1579,Lac à Léonard,-65.812778,49.207778,1626,LEO,100,480,5,0.9,0,3.02,0.53,20,0.5,2,"Kettle pond with marginal marshes. Physiography: flat fluvio-marine, deep valley bottom. Surrounding vegetation: Betulo-Aceratum sacchari.",part
